"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:44.477Z",102133.25,102133.25
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:44.525Z",102129.7,102129.7
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:46.805Z",102131.27,102131.27
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:53.064Z",102131.38,102131.38
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:54.880Z",102132.69,102132.69
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:55.215Z",102143.38,102143.38
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.205Z",102143.24,102143.24
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.524Z",102145.52,102145.52
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.536Z",102143.13,102143.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.595Z",102140.7,102140.7
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.629Z",102137.99,102137.99
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.673Z",102134.36,102134.36
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:57.992Z",102129.94,102129.94
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:01.003Z",102131.14,102131.14
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:01.013Z",102134.84,102134.84
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:01.034Z",102139.93,102139.93
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:01.171Z",102148.42,102148.42
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:01.801Z",102154.66,102154.66
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:03.762Z",102152.41,102152.41
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:03.783Z",102155.26,102155.26
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:03.798Z",102158.2,102158.2
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:04.303Z",102165.25,102165.25
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:06.517Z",102157.57,102157.57
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:06.877Z",102154.36,102154.36
"exness","BTCUSD_Zero_Spread","2025-11-09 13:03:07.414Z",102153.93,102153.93
